order_id,customer_id,order_date,Amount
1,9572,02/17/2025,3770.03
2,2028,25-08-2025,8249.9
3,9187,01/28/2025,5127.71
4,1550,16-03-2025,2600.61
5,7174,12/01/2024,6445.43
6,8037,01/25/2025,4454.87
7,5935,12/08/2024,8522.81
8,4163,01-08-2025,N/A
9, 7235 ,2025-06-08,5595.78
10,9632,09/20/2025,914.95
11,3206,2025-03-23,8955.04
12,4736,06/16/2025,2559.18
13,7529,19-11-2025,N/A
14, 9237 ,01/22/2025,6655.94
15,3986, 10/15/2025 ,9482.5
16,5132,07/02/2025,4598.54
17,6577,2025-04-17,N/A
18,4754,08/23/2025,9976.94
19,7042,2025-06-21,3225.29
20,6459,14-03-2025,662.54
21,8963,02/16/2025,2591.3
22,4258,2024-12-31,5773.94
23,3452,23-10-2025,5827.33
24,3387,10/12/2025,N/A
25,3497,02/10/2025,8500.86
4,1550,16-03-2025,2600.61
27,9911,28-11-2024,8577.16
28,3531,09/16/2025,3445.72
29,9422,28-09-2025,1313.02
30,5435,2025-01-17,7434.95
31,3643,11/24/2025,6811.34
32,6683, 09-04-2025 ,5433.44
33,9090,21-07-2025,5993.38
34,7314,10/16/2025,6227.38
35,2461, 02/02/2025 ,8285.04
36,4837,12/31/2024,3125.38
37,3054, 05/25/2025 ,855.27
38,3113,03/12/2025,2056.96
39,5353,08/15/2025,N/A
40,7619,11/23/2025,321.53
41,6522,03-02-2025,93.93
42,9646,2024-11-28,6421.99
27,9911,28-11-2024,8577.16
44,8267,2025-07-14,115.23
45,8898,03-05-2025,2669.82
46,9815,18-04-2025,5742.72
47,3511,09-10-2025,7970.9
48,3688,06/14/2025,1184.51
49,6244,2025-09-04,9918.57
12,4736,06/16/2025,2559.18
51, 2720 ,2025-07-30,7086.77
,8409,06/23/2025,N/A
53,5474,02/19/2025,6995.66
54,2522,20-02-2025,3170.26
55,9695,11/16/2025,3918.72
56,9026,08/17/2025,7608.64
57,5670,03/22/2025,7339.26
58,5967,2025-09-18,837.91
,4199,2025-05-13,7745.26
60,3172,2025-04-14,2315.68
61,7766,26-08-2025,5781.92
62,6957,11/07/2025,2509.99
63,5973,30-09-2025,1976.16
64,4405,2025-01-07,8887.87
65,5242,01/18/2025,1823.55
66,9712,02/04/2025,8252.81
67,2483,2025-09-03,8270.19
68,7133,16-11-2025,7117.4
69, 7617 , 2025-09-22 ,1660.45
70,2330,07-05-2025,3674.79
71, 5934 ,09/04/2025,9272.71
72,6118,2025-01-21,2700.55
73,3481,11/13/2025,1260.27
